"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"166528459","936669166135","","PayerLineItem","5200000001529948373","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AmazonSNS","Amazon Simple Notification Service","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-Requests-Tier1","","220257184","First 1,000,000 SNS API Requests per Month are free","2019/01/01 00:00:00","2019/01/31 23:59:59","164.0","","CNY","0.00","0.0","0.000000","None","0.000000"
"166528459","936669166135","","PayerLineItem","5200000001534668596","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSDataTransfer","AWS Data Transfer","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-CNN1-AWS-Out-Bytes","","219995560","$0.6003 CNY per GB - Inter Region DT cost (Out bytes to BJS)","2019/01/01 00:00:00","2019/01/31 23:59:59","33.61669743","","CNY","20.18","0.0","0.000000","None","20.180000"
"166528459","936669166135","","PayerLineItem","5200000001534668597","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-DataProcessing-Bytes","PutLogEvents","305676443","First 5GB per month of log data ingested is free.","2019/01/01 00:00:00","2019/01/31 23:59:59","0.00743305","","CNY","0.00","0.0","0.000000","None","0.000000"
"166528459","936669166135","","PayerLineItem","5200000001534668598","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSLambda","AWS Lambda","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-Request","","274057631","AWS Lambda - Total Requests - China (Ningxia)","2019/01/01 00:00:00","2019/01/31 23:59:59","482.0","","CNY","0.00","0.0","0.000000","None","0.000000"
"166528459","936669166135","","PayerLineItem","5200000001534668599","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSDataTransfer","AWS Data Transfer","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-CNN1-AWS-In-Bytes","","219995561","$0 CNY per GB - Inter Region DT cost (In bytes from BJS)","2019/01/01 00:00:00","2019/01/31 23:59:59","29.32669767","","CNY","0.00","0.0","0.000000","None","0.000000"
"166528459","936669166135","","PayerLineItem","5200000001534668600","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSLambda","AWS Lambda","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-Lambda-GB-Second","","274057630","AWS Lambda - Total Compute - China (Ningxia)","2019/01/01 00:00:00","2019/01/31 23:59:59","36.3125","","CNY","0.00","0.0","0.000000","None","0.000000"
"166528459","936669166135","","PayerLineItem","5200000001534668601","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSDataTransfer","AWS Data Transfer","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-DataTransfer-Regional-Bytes","","219995563","0.067 CNY per GB - Regional Data Transfer","2019/01/01 00:00:00","2019/01/31 23:59:59","1.5251215","","CNY","0.10","0.0","0.000000","None","0.100000"
"166528459","936669166135","","PayerLineItem","5200000001534668602","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AmazonRDS","Amazon Relational Database Service","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-InstanceUsage:db.m4.large","CreateDBInstance:0012","313273206","CNY 6.849 per RDS db.m4.large Single-AZ instance hour (or partial hour) running SQL Server SE (LI)","2019/01/01 00:00:00","2019/01/31 23:59:59","6.0","","CNY","41.09","0.0","0.000000","None","41.090000"
"166528459","936669166135","","PayerLineItem","5200000001534668603","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSConfig","AWS Config","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-ConfigurationItemRecorded","","214224412","0.02 CNY per Configuration Item recorded in China (Ningxia) region","2019/01/01 00:00:00","2019/01/31 23:59:59","1727.0","","CNY","34.54","0.0","0.000000","None","34.540000"
"166528459","936669166135","","PayerLineItem","5200000001535571005","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSCloudTrail","AWS CloudTrail","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-FreeEventsRecorded","","214224227","0.0 per free event","2019/01/01 00:00:00","2019/01/31 23:59:59","133417.0","","CNY","0.00","0.0","0.000000","None","0.000000"
"166528459","936669166135","","PayerLineItem","5200000001535571007","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSDataTransfer","AWS Data Transfer","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-DataTransfer-Out-Bytes","","219995562","0.933 CNY per GB - data transfer out of CNW1","2019/01/01 00:00:00","2019/01/31 23:59:59","3.79360256","","CNY","3.54","0.0","0.000000","None","3.540000"
"166528459","936669166135","","PayerLineItem","5200000001535571010","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AWSCloudTrail","AWS CloudTrail","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-DataEventsRecorded","","214224225","0.0000065 per data event recorded in China (Ningxia) region","2019/01/01 00:00:00","2019/01/31 23:59:59","4766.0","","CNY","0.03","0.0","0.000000","None","0.030000"
"166528459","936669166135","","PayerLineItem","5200000001535571011","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AmazonS3","Amazon Simple Storage Service","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-TimedStorage-ByteHrs","","332588926","CNY 0.1755 per GB - first 50 TB / month of storage used","2019/01/01 00:00:00","2019/01/31 23:59:59","14.44361299","","CNY","2.53","0.0","0.000000","None","2.530000"
"166528459","936669166135","","PayerLineItem","5200000001535571013","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AmazonDynamoDB","Amazon DynamoDB","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-ReadCapacityUnit-Hrs","CommittedThroughput","327600567","CNY 0.00116 per hour for units of read capacity","2019/01/01 00:00:00","2019/01/31 23:59:59","297200.0","","CNY","344.75","0.0","0.000000","None","344.750000"
"166528459","936669166135","","PayerLineItem","5200000001535571015","2019/01/01 00:00:00","2019/01/31 23:59:59","2019/02/03 00:19:45","","","","","AmazonDynamoDB","Amazon DynamoDB","Amazon Cloud Technology Services (Ningxia) Co., Ltd","CNW1-WriteCapacityUnit-Hrs","CommittedThroughput","327600563","CNY 0.0058 per hour for units of write capacity","2019/01/01 00:00:00","2019/01/31 23:59:59","74300.0","","CNY","430.94","0.0","0.000000","None","430.940000"
